Race #,Speed,Accuracy,Date
1,54,0.91,12/19/16
2,59,0.92,12/20/16
3,38,0.84,12/21/16
4,55,0.88,12/21/16
5,64,0.94,12/22/16
6,53,0.88,12/22/16
7,56,0.92,12/22/16
8,64,0.96,12/22/16
9,54,0.92,12/22/16
10,46,0.89,12/22/16
11,45,0.86,12/22/16
12,63,0.94,12/22/16
13,64,0.95,12/22/16
14,48,0.88,12/22/16
15,48,0.86,12/22/16
16,52,0.88,12/22/16
17,47,0.92,12/22/16
18,37,0.90,12/22/16
19,49,0.84,12/22/16
20,53,0.84,12/22/16
21,45,0.86,12/22/16
22,54,0.91,12/22/16
23,57,0.90,12/22/16
24,41,0.86,1/4/17
25,55,0.89,2/17/17
26,68,0.97,2/17/17
27,59,0.91,2/23/17
28,64,0.93,2/23/17
29,68,0.96,6/18/17
30,52,0.93,6/18/17
31,54,0.95,6/18/17
32,55,0.95,6/18/17
33,67,0.96,6/18/17
34,60,0.94,6/18/17
35,60,0.95,6/18/17
36,56,0.96,6/18/17
37,58,0.96,6/20/17
38,54,0.94,6/20/17
39,56,0.94,6/20/17
40,55,0.95,6/20/17
41,61,0.95,6/20/17
42,59,0.96,6/20/17
43,66,0.95,6/22/17
44,57,0.97,6/22/17
45,53,0.93,6/22/17
46,63,0.95,6/22/17
47,55,0.95,6/22/17
48,48,0.94,6/22/17
49,53,0.94,6/22/17
50,52,0.95,6/22/17
51,53,0.96,12/22/17
52,59,0.96,12/22/17
53,69,0.96,12/22/17
54,60,0.94,12/22/17
55,56,0.93,12/22/17
56,65,0.96,12/22/17
57,51,0.95,12/22/17
58,67,0.96,12/22/17
59,59,0.95,12/22/17
60,59,0.95,12/22/17
61,47,0.94,12/22/17
62,58,0.94,12/22/17
63,51,0.94,12/22/17
64,52,0.95,12/22/17
65,46,0.95,12/22/17
66,59,0.95,12/22/17
67,62,0.95,12/22/17
68,53,0.93,12/22/17
69,56,0.95,12/22/17
70,62,0.95,12/22/17
71,49,0.92,12/22/17
72,60,0.96,12/23/17
73,49,0.95,12/23/17
74,53,0.94,12/23/17
75,35,0.93,12/24/17
76,36,0.95,12/24/17
77,48,0.94,12/24/17
78,52,0.95,12/24/17
79,45,0.93,12/24/17
80,45,0.93,2/17/18
81,62,0.97,2/17/18
82,57,0.96,2/17/18
83,43,0.96,2/17/18
84,52,0.94,2/17/18
85,53,0.94,2/17/18
86,44,0.95,2/17/18
87,51,0.94,2/17/18
88,55,0.95,2/17/18
89,66,0.97,2/17/18
90,57,0.95,2/17/18
91,54,0.95,2/17/18
92,53,0.95,2/17/18
93,58,0.95,2/17/18
94,60,0.94,2/17/18
95,62,0.96,2/17/18
96,45,0.94,2/17/18
97,44,0.93,2/17/18
98,54,0.95,2/17/18
99,65,0.97,2/22/18
100,58,0.95,2/22/18
101,51,0.93,2/22/18
102,54,0.94,2/22/18
103,59,0.94,2/23/18
104,54,0.94,2/23/18
105,54,0.95,2/25/18
106,57,0.96,2/25/18
107,69,0.96,2/26/18
108,58,0.93,2/26/18
109,59,0.94,2/26/18
110,58,0.95,2/26/18
111,59,0.94,2/26/18
112,60,0.95,2/26/18
113,66,0.96,2/26/18
